user_id,student_id,department_id,entry_year,grade,is_poor
00000000-0000-0000-0000-000000000610,B12606001,6060,112,3,f
00000000-0000-0000-0000-000000000346,R14H04001,H040,114,1,f
00000000-0000-0000-0000-000000000443,R12A01001,A011,112,3,f
00000000-0000-0000-0000-000000000274,B13302001,3020,113,2,f
00000000-0000-0000-0000-000000000450,B13607001,6070,113,2,f
00000000-0000-0000-0000-000000000311,R12610001,6100,112,3,f
00000000-0000-0000-0000-000000000473,B13310001,3100,113,2,f
00000000-0000-0000-0000-000000000525,B13705001,7050,113,2,f
00000000-0000-0000-0000-000000000327,B11508001,5080,111,4,f
00000000-0000-0000-0000-000000000437,R11207001,2070,111,4,f
00000000-0000-0000-0000-000000000491,R13201001,2010,113,2,f
00000000-0000-0000-0000-000000000498,B13901001,9010,113,2,f
00000000-0000-0000-0000-000000000554,R14A01001,A013,114,1,f
00000000-0000-0000-0000-000000000134,B13406001,4060,113,2,f
00000000-0000-0000-0000-000000000470,R11409001,4090,111,4,f
00000000-0000-0000-0000-000000000384,B11302001,3023,111,4,f
00000000-0000-0000-0000-000000000519,B14305001,3050,114,1,f
00000000-0000-0000-0000-000000000237,R12302001,3021,112,3,f
00000000-0000-0000-0000-000000000608,B12105001,1050,112,3,f
00000000-0000-0000-0000-000000000520,B14H06001,H060,114,1,f
00000000-0000-0000-0000-000000000156,R14605001,6050,114,1,f
00000000-0000-0000-0000-000000000356,R13408001,4081,113,2,f
00000000-0000-0000-0000-000000000488,B14106001,1060,114,1,f
00000000-0000-0000-0000-000000000490,R12109001,1090,112,3,f
00000000-0000-0000-0000-000000000551,R14605002,6050,114,1,f
00000000-0000-0000-0000-000000000275,R11109001,1090,111,4,f
00000000-0000-0000-0000-000000000436,B11611001,6110,111,4,f
00000000-0000-0000-0000-000000000479,R1330A001,30A0,113,2,f
00000000-0000-0000-0000-000000000322,B11A01001,A011,111,4,f
00000000-0000-0000-0000-000000000576,R14H04002,H040,114,1,f
00000000-0000-0000-0000-000000000582,B11408001,4080,111,4,f
00000000-0000-0000-0000-000000000333,B11402001,4020,111,4,f
00000000-0000-0000-0000-000000000305,R11610001,6100,111,4,f
00000000-0000-0000-0000-000000000495,B14209001,2090,114,1,f
00000000-0000-0000-0000-000000000388,B10611001,6110,110,5,f
00000000-0000-0000-0000-000000000231,R14701001,7012,114,1,f
00000000-0000-0000-0000-000000000559,R12101001,1011,112,3,f
00000000-0000-0000-0000-000000000298,B14606001,6060,114,1,f
00000000-0000-0000-0000-000000000364,R14404001,4040,114,1,f
00000000-0000-0000-0000-000000000295,R14612001,6120,114,1,f
00000000-0000-0000-0000-000000000154,B14204001,2040,114,1,f
00000000-0000-0000-0000-000000000558,B14303001,3030,114,1,f
00000000-0000-0000-0000-000000000289,B11106001,1060,111,4,f
00000000-0000-0000-0000-000000000171,R11705001,7050,111,4,f
00000000-0000-0000-0000-000000000351,B12502001,5020,112,3,f
00000000-0000-0000-0000-000000000435,R10601001,6010,110,5,f
00000000-0000-0000-0000-000000000438,B12605001,6050,112,3,f
00000000-0000-0000-0000-000000000297,B13302002,3023,113,2,f
00000000-0000-0000-0000-000000000387,B11611002,6110,111,4,f
00000000-0000-0000-0000-000000000138,B11101001,1010,111,4,f
00000000-0000-0000-0000-000000000273,R12403001,4031,112,3,f
