user_id,semester,course_id,course_name,credit,score
00000000-0000-0000-0000-000000000610,112-1,OBE43934,老子甲下,4,3.3
00000000-0000-0000-0000-000000000610,112-1,SQA23020,神經細胞生理專題討論,2,2
00000000-0000-0000-0000-000000000610,112-1,SSZ80225,十七與十八世紀英國文學,2,3.3
00000000-0000-0000-0000-000000000610,112-1,FHU40340,中共政治專題研究,3,3
00000000-0000-0000-0000-000000000610,112-2,EPV07120,軟體測試,4,4.3
00000000-0000-0000-0000-000000000610,112-2,TYC83058,生理疾病職能治療,4,2.7
00000000-0000-0000-0000-000000000610,112-2,EPD58543,高等編譯器設計,3,3.7
00000000-0000-0000-0000-000000000610,113-1,PAE65521,醫用輻射物理,4,3
00000000-0000-0000-0000-000000000610,113-1,COL80473,高等構造地質學,4,3.3
00000000-0000-0000-0000-000000000610,113-1,YQS15725,小兒物理治療學專題研究四,2,3
00000000-0000-0000-0000-000000000610,113-2,BPB57129,演算法,2,3.7
00000000-0000-0000-0000-000000000610,113-2,UDI70730,國際企業專題研究二,2,3
00000000-0000-0000-0000-000000000610,113-2,UJM83021,經濟地理特論,2,2.7
00000000-0000-0000-0000-000000000610,113-2,KBJ59298,高等藥理學特論一,3,3
00000000-0000-0000-0000-000000000610,113-2,TSP75396,生物材料物性研究分析,2,2
00000000-0000-0000-0000-000000000346,110-1,LGT10986,日本戲劇導讀上,3,2
00000000-0000-0000-0000-000000000346,110-1,FUY13143,勞動經濟學二,2,2.7
00000000-0000-0000-0000-000000000346,110-1,UYW75352,運動與性別,3,4.3
00000000-0000-0000-0000-000000000346,110-1,UKD86413,昆蟲分類學實習下,2,3
00000000-0000-0000-0000-000000000346,110-2,KDX82660,「基礎法學之理論與方法:,4,4
00000000-0000-0000-0000-000000000346,110-2,GYR24925,社會統計,3,0
00000000-0000-0000-0000-000000000346,110-2,NKR22911,神經物治臨床實習研究二,3,1.7
00000000-0000-0000-0000-000000000346,111-1,OXP39373,日本語言學概論下,2,3.3
00000000-0000-0000-0000-000000000346,111-1,CQY99557,幾何學二,4,3
00000000-0000-0000-0000-000000000346,111-1,FXW28545,無脊椎動物學實驗,2,3.7
